time,addr,bus,data
761.456512,1003,2,40000000
761.456552,304,2,20009000000010000000
761.456566,495,0,0
761.456702,381,2,6000
761.456794,320,2,f40000004fc80233
761.457034,532,2,014000d3005000
761.457218,568,2,1
761.45764,452,0,0062c07300000000
761.458302,842,0,0
761.458602,454,0,349d349d00432d8b
761.458682,170,0,2c032c030453fb00
761.45912,539,2,000019000000105e
761.459128,560,2,300000000ffd
761.459202,707,0,066706660000c900
761.459524,562,2,2ed9292c
761.459712,493,0,01a9000000003dc6
761.459854,368,2,8002000000540000
761.46024,456,0,43ff0000ffff3c00
761.460286,542,2,4300
761.4603,170,0,2c032c030253fc00
761.460324,197,2,70010cd2b00219a4
761.460536,241,0,280000400000
761.460538,546,0,008c84b706403e
761.460742,190,0,02000005aa00
761.460952,201,0,8000000000001800
761.461112,193,2,70010cd2b00219a4
761.461198,193,0,70010cd2b00219a4
761.46131,199,0,0
761.461474,199,0,0
761.461782,368,2,80a2000030540000
761.463578,426,0,8666697667000
761.463788,539,2,000019000000105e
761.463792,485,0,5cffbd3000000284
761.464194,390,0,04005d08000160
761.465512,304,2,7ffe900000001243
761.465586,199,0,0
761.465634,211,0,2c03
761.465746,193,2,70010cd2b00219a4
761.465772,381,0,222442ff0000
761.465778,390,0,04005d08000160
761.465922,197,0,50010cd2900219a4
761.465974,568,0,72
761.466904,170,0,2c032c030253fc00
761.467136,193,2,60010cd2a00219a4
761.467142,190,0,02000005aa00
761.467352,201,0,8000000000001800
761.46761,493,0,01a9000000003dc6
761.467616,489,0,0008000e0fff0000
761.467848,241,0,340000400000
761.468054,193,0,40010cd2800219a4
761.468542,190,0,0e000005abfd
761.468574,532,0,020023ff241f
761.468894,384,2,5000000000000080
761.469044,190,0,0a000005abfe
761.469078,565,2,0000000020000ffe
761.469202,454,0,349d349d00832d8a
761.469324,562,2,2ed9292c
761.469484,1003,2,40000000
761.469716,456,0,c3ff0000fffd3bfe
761.469944,489,0,8000
761.470106,192,2,aac1a1c1a1
761.47018,562,2,2ed9292c
761.470268,193,2,50010cd2900219a4
761.47032,489,2,020fff0008
761.470586,454,0,349d349d00832d8a
761.470806,562,2,2ed9292c
761.470914,211,0,2c03
761.470922,311,0,190198ae09bc5409
761.471036,532,2,014000d3005000
761.471132,211,0,2c03
761.471318,309,0,00000822aa121200
761.4715,304,2,1ffd9000000011e2
761.471962,384,2,1000000000000040
761.472456,190,0,0a000005abfe
761.472804,386,0,11fb010000000000
761.473098,485,0,5cffbc70000002c3
